s,Title,Entry ID,Entry Name,Date Added,Date Modified,chembl_id,chembl_pref_name,chiral flag,version,ct enhanced stereo status,Source Path,Source File,Source File Index,Chirality 1,source file,source file index,mmshare version,flags,input,cmdline,Ionization Penalty,Ionization Penalty Charging,Ionization Penalty Neutral,State Penalty,Charging Adjusted Penalty,Tot Q,Tot abs Q,Force Field,Energy,Chiralities Consistent,Variant,Job Name,Chemistry Notes,EZ 1,EZ 2,tautomer probability,EZ 3,EZ 4,Chirality 2,PDB TITLE,PDB ID,PDB CRYST1 a,PDB CRYST1 b,PDB CRYST1 c,PDB CRYST1 alpha,PDB CRYST1 beta,PDB CRYST1 gamma,PDB CRYST1 Space Group,PDB CRYST1 z,PDB CLASSIFICATION,PDB DEPOSITION DATE,PDB format version,PDB R,PDB Rfree,PDB RESOLUTION,PDB EXPDTA,PDB EXPDTA TEMPERATURE,PDB REMARK 350 Biomolecule 1 Transform 1 Chains,PDB REMARK 350 Biomolecule 1 Transform 1 Matrix 1,entry id backup,prepared,prepared with version,assigned bond orders,added hydrogens,treated metals,created disulfur,converted selenomethionines,deleted far waters,EXECUTE FUNCTION Input Structure Hash,GSGTC Seq,GSGTC Homology Source,GSGTC Homology Stemres,GSGTC Homology Loopres,GSGTC Homology Seq,GSGTC Homology Similarity,GSGTC Homology Stem Dist,GSGTC Homology Stem Beta,GSGTC Homology Stem Gamma,Potential Energy-OPLS3e,RMS Derivative-OPLS3e,Minimization Converged-OPLS3e,het states,ran protassign,removed non hbond waters,Potential Energy-OPLS3e-1,RMS Derivative-OPLS3e-1,Max Derivative-OPLS3e,Stretch Energy-OPLS3e,Bend Energy-OPLS3e,LJ-14 Energy-OPLS3e,El-14 Energy-OPLS3e,Van der Waals Energy-OPLS3e,Electrostatic Energy-OPLS3e,Dihedral Energy-OPLS3e,target temperature,ran impref,Chirality 3,Chirality 4,Chirality 5,Chirality 6,Chirality 7,grid version,gridbox xcent,gridbox ycent,gridbox zcent,gridbox xrange,gridbox yrange,gridbox zrange,gridbox ligxrange,gridbox ligyrange,gridbox ligzrange,receptor,glide gridfile,glide lignum,glide rotatable bonds,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide metal,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,glide einternal,glide confnum,glide posenum,glide eff state penalty,box ax,box ay,box az,box bx,box by,box bz,box cx,box cy,box cz,ct type,original cms file,EZ 5,AtomNumChirality 1,AtomNumChirality 2
,5Z1D - minimized,209,5z1d.1,17-08-2021 17:29,17-08-2021 17:29,,,,,,/home/titan7/yogesh/DNNDR2_MD/structures/new_proteins,5z1d.pdb,1,,,,,,,,,,,,,,,,,,,glide-dock_SP_map2k-esm1,,,,,,,,MAP2K7 C276S MUTANT-INHIBITOR,5Z1D,54.584,63.827,88.458,90,90,90,P 21 21 21,4,TRANSFERASE,26-Dec-17,3.3,0.192,0.258,2.28,X-RAY DIFFRACTION,95,A,1.000000 0.000000 0.000000   0.000000;0.000000 1.000000 0.000000   0.000000;0.000000 0.000000 1.000000   0.000000,194,TRUE,2019-2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,dc01dc51d6cc103619cbd5ebd7a803f104376c5477966bffb8595acd,GSGTC,2IZ6,A:43_A:49,A:44_A:48,GRSLG,0.2,9.28,85.74,73.13,9068.006,0.196,TRUE,eJztVbFS6zAQ/BWNa2Kk0/nOho6KlqFkKDJARV5CEQomk39HOtlsYmICBW/em0mqy0r23u2upU0Vqgt3l37ckp45f3/mctmi7D7K6FEGlIQyomSUDUpBCbYItgg2BhuDjcHGYGOwMdgYbGxsue4HLTMSxi2Thl0gDxmgQhGAIECZPUCGogDtAYod0QAGwAY0eKQALXY0BggAGV5K0K7ItgfwTmPWelYzQNiiaYC8e4/0AGZhm4VByzYLYxa21rP4+4DgERneEbIRvvY+dbapcocpg/Z/mxbrrkv01e16vn5yL0/L+WL9ZsvBPT/MF+d/VotLdz27Wi0f3cPqdbm+cHTpbtKWyvw9Jfl/TnJW5VO0jyeZIG+RczLahBSOkkxwYCLJAW4MX0NCqE6qxhJl9inKBUhZnoV+aZzmvGMyzWFIc3p3RR/HsyAkgpAIQiIIiSCSgkgKIqmIpCKSikgq2BRsCjYFm+5GUkxPQTZ6oB0BCk/EBBYoLhYWgeJiiouOAWRDdMxiYVGERS0sii9BLQqKsGhpDK2rNabNGMCh1gNDFALVvpVEsTH3ff9vbH/e1n37NPuW8eH3jZ+Fk/OTzvuafCbOxlOtXTx4h9H0HRYPuB6Ouf4XPveT61+63lG+DYrrXhs+5HpHP3L9XzjkT65/dcrXLHbhb3PdxLzw6YhPe464Pgvpit++A7c58N0=,TRUE,TRUE,-1136.868,0.116,3.556,131.582,673.811,1417.605,498.316,-2755.317,-1696.741,498.513,298,TRUE,,,,,,83012,12.386,-4.72,-14.149,23.502,23.502,23.502,10,10,10,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ligprep_map2k-esm1b_ligands.maegz:3,210,esm1_map2k.3,17-08-2021 17:29,17-08-2021 17:29,CHEMBL287306,None,FALSE,0,2,/home/titan7/yogesh/DNNDR2_MD/structures/esm1b_map2k,esm1_map2k.sdf,3,,ligprep_map2k-esm1_ligands.maegz,3,46012,0,Tz1QKFtPSF0pKFtPSF0pT2MxW2NIXWMoW0NIXT1PKVtjSF1bY0hdW2NIXTE=,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,0.0734,0.0734,0,0.0645,0.138,-2,2,OPLS3e,5.591,TRUE,ligprep_map2k-esm1_ligands.maegz:3-1,glide-dock_SP_map2k-esm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,glide-grid_map2k,5,3,-6.691,-0.515,-1.21,-1.877,-6.755,-0.861,-0.665,0,-2.986,-17.704,-11.779,0.408,0,-49.445,-29.483,1.077,2,286,0.065,,,,,,,,,,,,,,
,ligprep_map2k-esm1b_ligands.maegz:6,211,esm1_map2k.6,17-08-2021 17:29,17-08-2021 17:29,CHEMBL284997,None,FALSE,0,2,/home/titan7/yogesh/DNNDR2_MD/structures/esm1b_map2k,esm1_map2k.sdf,6,,ligprep_map2k-esm1_ligands.maegz,6,46012,0,Tz1QKFtPSF0pKFtPSF0pT2MoW2NIXVtjSF0xKVtjSF1bY0hdYzFDKD1PKU9bQ0gzXQ==,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,0.0734,0.0734,0,0.0645,0.138,-2,2,OPLS3e,0.296,TRUE,ligprep_map2k-esm1_ligands.maegz:6-1,glide-dock_SP_map2k-esm1,This compound has an ester and may undergo hydrolysis at high or low pH.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,glide-grid_map2k,11,4,-6.602,-0.44,-1.086,-1.781,-6.667,-1.249,-0.676,0,-2.84,-21.841,-9.614,0.645,-0.012,-50.687,-31.455,0.995,12,27,0.065,,,,,,,,,,,,,,
,ligprep_map2k-esm1b_ligands.maegz:6,212,esm1_map2k.6,17-08-2021 17:29,17-08-2021 17:29,CHEMBL284997,None,FALSE,0,2,/home/titan7/yogesh/DNNDR2_MD/structures/esm1b_map2k,esm1_map2k.sdf,6,,ligprep_map2k-esm1_ligands.maegz,6,46012,0,Tz1QKFtPSF0pKFtPSF0pT2MoW2NIXVtjSF0xKVtjSF1bY0hdYzFDKD1PKU9bQ0gzXQ==,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,1.2739,0,1.2739,1.3456,1.346,-1,1,OPLS3e,-3.883,TRUE,ligprep_map2k-esm1_ligands.maegz:6-2,glide-dock_SP_map2k-esm1,This compound has an ester and may undergo hydrolysis at high or low pH.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,glide-grid_map2k,12,5,-6.407,-0.427,-1.053,-1.728,-7.752,-1.655,-0.458,0,-2.891,-20.355,-16.022,0.672,0,-56.459,-36.377,3.012,15,310,1.346,,,,,,,,,,,,,,
,ligprep_map2k-esm1b_ligands.maegz:22,213,esm1_map2k.22,17-08-2021 17:29,17-08-2021 17:29,CHEMBL1169998,None,FALSE,0,2,/home/titan7/yogesh/DNNDR2_MD/structures/esm1b_map2k,esm1_map2k.sdf,22,,ligprep_map2k-esm1_ligands.maegz,22,46012,0,W09IXVtDSDJdW0NIMl1bQ0gyXVtOSF1DKD1PKWMoW2NIXTEpYyhuKFtDSDNdKWMxQyg9TylbQ0gzXSlbTkhdYzJbY0hdW2NIXWMoSSlbY0hdYzJG,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,0,0,0,0,0,0,0,OPLS3e,27.66,TRUE,ligprep_map2k-esm1_ligands.maegz:22-1,glide-dock_SP_map2k-esm1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,glide-grid_map2k,40,9,-6.362,-0.254,-0.744,-1.508,-6.362,-2.18,-0.392,0,-1.349,-38.586,-7.87,0.668,0,-62.015,-46.456,6.949,69,166,0,,,,,,,,,,,,,,
,ligprep_map2k-esm1b_ligands.maegz:11,214,esm1_map2k.11,17-08-2021 17:29,17-08-2021 17:29,CHEMBL1171012,None,FALSE,0,2,/home/titan7/yogesh/DNNDR2_MD/structures/esm1b_map2k,esm1_map2k.sdf,11,,ligprep_map2k-esm1_ligands.maegz,11,46012,0,W09IXVtDSDJdW0NIXShbQ0gyXVtPSF0pT1tOSF1DKD1PKWMoW2NIXTEpYyhuKFtDSDNdKWMxQyg9TylbQ0gzXSlbTkhdYzJbY0hdW2NIXWMoSSlbY0hdYzJG,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,0,0,0,0,0,0,0,OPLS3e,31.461,TRUE,ligprep_map2k-esm1_ligands.maegz:11-1,glide-dock_SP_map2k-esm1,This compound has a N-S or N-O group and may undergo hydrolysis at high or low pH.,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,glide-grid_map2k,20,11,-5.814,-0.215,-0.646,-1.353,-5.814,-2.307,0,0,-1.002,-41.13,-7.491,0.675,0,-62.142,-48.621,10.777,98,211,0,,,,,,,,,,,,,,
,ligprep_map2k-esm1b_ligands.maegz:4,215,esm1_map2k.4,17-08-2021 17:29,17-08-2021 17:29,CHEMBL286678,None,FALSE,0,2,/home/titan7/yogesh/DNNDR2_MD/structures/esm1b_map2k,esm1_map2k.sdf,4,,ligprep_map2k-esm1_ligands.maegz,4,46012,0,Tz1bQ0hdYzFbY0hdW2NIXVtjSF1bY0hdYzFPUCg9TykoW09IXSlbT0hd,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,0.0734,0.0734,0,0.0645,0.138,-2,2,OPLS3e,1.711,TRUE,ligprep_map2k-esm1_ligands.maegz:4-1,glide-dock_SP_map2k-esm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,glide-grid_map2k,7,3,-5.747,-0.442,-1.039,-1.612,-5.811,-0.884,-0.32,0,-2.995,-18.855,-7.187,0.408,0,-42.119,-26.043,0.287,1,282,0.065,,,,,,,,,,,,,,
,ligprep_map2k-esm1b_ligands.maegz:14,216,esm1_map2k.14,17-08-2021 17:29,17-08-2021 17:29,CHEMBL279466,None,FALSE,0,2,/home/titan7/yogesh/DNNDR2_MD/structures/esm1b_map2k,esm1_map2k.sdf,14,,ligprep_map2k-esm1_ligands.maegz,14,46012,0,Tz1QKFtPSF0pKFtPSF0pT2MxYyhbQ0hdPU8pW2NIXVtjSF1bY0hdYzFbQ0hdPU8=,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,0.0734,0.0734,0,0.0645,0.138,-2,2,OPLS3e,3.226,TRUE,ligprep_map2k-esm1_ligands.maegz:14-1,glide-dock_SP_map2k-esm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,glide-grid_map2k,24,4,-5.706,-0.38,-0.938,-1.539,-5.77,-0.688,-0.356,0,-2.874,-20.452,-7.71,0.327,0,-45.19,-28.162,0.678,2,379,0.065,,,,,,,,,,,,,,
,ligprep_map2k-esm1b_ligands.maegz:20,217,esm1_map2k.20,17-08-2021 17:29,17-08-2021 17:29,CHEMBL24101,None,FALSE,0,2,/home/titan7/yogesh/DNNDR2_MD/structures/esm1b_map2k,esm1_map2k.sdf,20,,ligprep_map2k-esm1_ligands.maegz,20,46012,0,Tz1QKFtPSF0pKFtPSF0pT2MoW2NIXVtjSF1bY0hdMSlbY0hdYzFDKD1PKU9bQ0gzXQ==,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,0.0734,0.0734,0,0.0645,0.138,-2,2,OPLS3e,5.13,TRUE,ligprep_map2k-esm1_ligands.maegz:20-1,glide-dock_SP_map2k-esm1,This compound has an ester and may undergo hydrolysis at high or low pH.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,glide-grid_map2k,36,4,-5.657,-0.377,-0.93,-1.526,-5.722,-0.841,-0.474,0,-2.785,-20.178,-8.28,0.645,-0.017,-46.088,-28.458,0.589,10,67,0.065,,,,,,,,,,,,,,
,ligprep_map2k-esm1b_ligands.maegz:13,218,esm1_map2k.13,17-08-2021 17:29,17-08-2021 17:29,CHEMBL24720,ALPHA HYDROXY BENZYLPHOSPHONATE,FALSE,0,2,/home/titan7/yogesh/DNNDR2_MD/structures/esm1b_map2k,esm1_map2k.sdf,13,2_R_1_7_5_13,ligprep_map2k-esm1_ligands.maegz,13,46012,0,W09IXVAoPU8pKFtPSF0pW0NAQEhdKFtPSF0pYzFbY0hdW2NIXVtjSF1bY0hdW2NIXTE=,J2VwaWtfcHl0aG9uJywgJy1waCcsICc3LjAnLCAnLXRuJywgJzgnLCAnLW1hJywgJzIwMCcsICctaW1hZScsICc8aW5maWxlLm1hZT4nLCAnLW9tYWUnLCAnPG91dGZpbGUubWFlPic=,0.2718,0,0.2718,0.264,0.264,-1,1,OPLS3e,11.906,TRUE,ligprep_map2k-esm1_ligands.maegz:13-1,glide-dock_SP_map2k-esm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,glide-grid_map2k,22,4,-5.633,-0.469,-1.075,-1.616,-5.897,-1.507,-0.32,0,-2.231,-18.296,-9.047,0.456,-0.024,-37.602,-27.343,6.568,3,232,0.264,,,,,,,,,,,,,,
