active_roc,inter_roc,inactive_roc,active_pr,inter_pr,inactive_pr,mcc,cks,train_r2,test_r2
0.9326,0.9619,0.9242,0.7006,0.9579,0.8936,0.7162,0.7158,0.9544,0.7794
0.9288,0.9609,0.9231,0.6935,0.9600,0.8815,0.7214,0.7214,0.9534,0.7696
0.9320,0.9596,0.9236,0.7200,0.9570,0.8819,0.7245,0.7243,0.9517,0.7842
0.9278,0.9580,0.9195,0.7061,0.9542,0.8805,0.7033,0.7031,0.9442,0.7597
0.9331,0.9600,0.9228,0.7217,0.9582,0.8823,0.7192,0.7192,0.9541,0.7803
0.9246,0.9631,0.9219,0.6971,0.9594,0.8859,0.7146,0.7144,0.9541,0.7755
0.9302,0.9580,0.9198,0.7024,0.9567,0.8727,0.7123,0.7122,0.9550,0.7743
0.9312,0.9565,0.9169,0.7181,0.9530,0.8751,0.7076,0.7076,0.9505,0.7698
0.9351,0.9574,0.9187,0.7175,0.9543,0.8800,0.7099,0.7098,0.9548,0.7657
0.9247,0.9585,0.9203,0.6842,0.9577,0.8777,0.7115,0.7114,0.9509,0.7637
0.9300,0.9594,0.9211,0.7061,0.9568,0.8811,0.7140,0.7139,0.9523,0.7722
0.0035,0.0021,0.0024,0.0128,0.0023,0.0058,0.0065,0.0065,0.0033,0.0079
