active_roc,inter_roc,inactive_roc,active_pr,inter_pr,inactive_pr,mcc,cks,train_r2,test_r2
0.9334,0.9628,0.9249,0.7012,0.9601,0.8944,0.7212,0.7212,0.9495,0.7752
0.9274,0.9615,0.9231,0.6893,0.9607,0.8822,0.7146,0.7145,0.9488,0.7671
0.9334,0.9598,0.9240,0.7136,0.9577,0.8879,0.7173,0.7170,0.9483,0.7743
0.9271,0.9599,0.9190,0.7026,0.9558,0.8798,0.7119,0.7118,0.9491,0.7594
0.9318,0.9594,0.9208,0.7170,0.9579,0.8757,0.7177,0.7176,0.9446,0.7752
0.9271,0.9627,0.9219,0.6990,0.9597,0.8865,0.7122,0.7119,0.9488,0.7700
0.9316,0.9590,0.9190,0.7048,0.9568,0.8733,0.7094,0.7094,0.9404,0.7625
0.9299,0.9583,0.9186,0.7172,0.9561,0.8748,0.7094,0.7093,0.9455,0.7671
0.9347,0.9569,0.9184,0.7133,0.9541,0.8804,0.7101,0.7101,0.9491,0.7623
0.9226,0.9584,0.9176,0.6732,0.9579,0.8737,0.7077,0.7077,0.9445,0.7551
0.9299,0.9599,0.9207,0.7031,0.9577,0.8809,0.7131,0.7130,0.9469,0.7668
0.0038,0.0019,0.0026,0.0138,0.0021,0.0070,0.0044,0.0044,0.0030,0.0070
