active_roc,inter_roc,inactive_roc,active_pr,inter_pr,inactive_pr,mcc,cks,train_r2,test_r2
0.9319,0.9629,0.9253,0.7048,0.9590,0.8895,0.7274,0.7271,0.9531,0.7770
0.9289,0.9622,0.9239,0.6878,0.9610,0.8834,0.7207,0.7205,0.9515,0.7682
0.9319,0.9608,0.9247,0.7172,0.9583,0.8832,0.7222,0.7221,0.9467,0.7730
0.9269,0.9585,0.9181,0.7010,0.9542,0.8778,0.7129,0.7127,0.9487,0.7598
0.9326,0.9605,0.9215,0.7217,0.9585,0.8788,0.7149,0.7146,0.9521,0.7803
0.9281,0.9612,0.9210,0.6976,0.9580,0.8830,0.7158,0.7158,0.9523,0.7719
0.9339,0.9597,0.9217,0.7130,0.9573,0.8779,0.7171,0.7170,0.9518,0.7701
0.9287,0.9590,0.9184,0.7098,0.9559,0.8735,0.7100,0.7099,0.9470,0.7661
0.9355,0.9575,0.9199,0.7134,0.9547,0.8833,0.7100,0.7099,0.9473,0.7640
0.9198,0.9588,0.9196,0.6769,0.9555,0.8762,0.7084,0.7083,0.9517,0.7634
0.9298,0.9601,0.9214,0.7043,0.9572,0.8807,0.7159,0.7158,0.9502,0.7694
0.0045,0.0017,0.0025,0.0139,0.0021,0.0046,0.0061,0.0060,0.0025,0.0064
