active_roc,inter_roc,inactive_roc,active_pr,inter_pr,inactive_pr,mcc,cks,train_r2,test_r2
0.9331,0.9627,0.9241,0.6983,0.9593,0.8912,0.7190,0.7188,0.9488,0.7736
0.9291,0.9619,0.9249,0.6917,0.9611,0.8832,0.7255,0.7255,0.9517,0.7661
0.9302,0.9596,0.9226,0.7104,0.9576,0.8813,0.7174,0.7174,0.9492,0.7754
0.9281,0.9590,0.9198,0.6990,0.9553,0.8791,0.7109,0.7106,0.9514,0.7655
0.9333,0.9610,0.9224,0.7248,0.9592,0.8780,0.7252,0.7251,0.9490,0.7739
0.9285,0.9627,0.9237,0.7040,0.9598,0.8871,0.7191,0.7187,0.9536,0.7744
0.9323,0.9598,0.9225,0.7090,0.9584,0.8761,0.7203,0.7203,0.9527,0.7710
0.9304,0.9589,0.9188,0.7197,0.9546,0.8752,0.7090,0.7089,0.9526,0.7773
0.9351,0.9579,0.9206,0.7205,0.9551,0.8834,0.7177,0.7176,0.9510,0.7694
0.9245,0.9596,0.9199,0.6843,0.9594,0.8741,0.7109,0.7108,0.9518,0.7666
0.9305,0.9603,0.9219,0.7062,0.9580,0.8809,0.7175,0.7174,0.9512,0.7713
0.0031,0.0017,0.0020,0.0132,0.0023,0.0055,0.0057,0.0058,0.0017,0.0042
