active_roc,inter_roc,inactive_roc,active_pr,inter_pr,inactive_pr,mcc,cks,train_r2,test_r2
0.9354,0.9631,0.9263,0.7086,0.9602,0.8935,0.7270,0.7269,0.9410,0.7591
0.9307,0.9623,0.9249,0.7021,0.9614,0.8851,0.7203,0.7203,0.9625,0.7722
0.9325,0.9588,0.9230,0.7094,0.9575,0.8833,0.7277,0.7272,0.9595,0.7799
0.9269,0.9581,0.9188,0.6995,0.9546,0.8777,0.7106,0.7102,0.9603,0.7647
0.9323,0.9592,0.9209,0.7184,0.9579,0.8793,0.7136,0.7134,0.9629,0.7841
0.9257,0.9615,0.9208,0.6927,0.9577,0.8835,0.7118,0.7118,0.9620,0.7756
0.9325,0.9594,0.9205,0.7084,0.9566,0.8781,0.7177,0.7177,0.9457,0.7644
0.9296,0.9590,0.9197,0.7163,0.9563,0.8765,0.7073,0.7068,0.9500,0.7670
0.9354,0.9554,0.9174,0.7144,0.9519,0.8771,0.7111,0.7111,0.9631,0.7724
0.9242,0.9591,0.9200,0.6775,0.9581,0.8784,0.7135,0.7132,0.9584,0.7602
0.9305,0.9596,0.9212,0.7047,0.9572,0.8812,0.7161,0.7159,0.9565,0.7700
0.0039,0.0022,0.0027,0.0124,0.0027,0.0052,0.0070,0.0070,0.0080,0.0083
