active_roc,inter_roc,inactive_roc,active_pr,inter_pr,inactive_pr,mcc,cks,train_r2,test_r2
0.9314,0.9629,0.9247,0.6936,0.9604,0.8906,0.7239,0.7236,0.9503,0.7720
0.9277,0.9621,0.9240,0.6890,0.9609,0.8836,0.7191,0.7190,0.9495,0.7672
0.9311,0.9590,0.9230,0.7129,0.9574,0.8812,0.7155,0.7151,0.9490,0.7724
0.9257,0.9583,0.9181,0.7005,0.9550,0.8796,0.7089,0.7085,0.9516,0.7568
0.9326,0.9590,0.9185,0.7144,0.9570,0.8747,0.7086,0.7082,0.9508,0.7747
0.9260,0.9633,0.9237,0.7018,0.9604,0.8884,0.7210,0.7210,0.9510,0.7645
0.9320,0.9607,0.9226,0.7157,0.9579,0.8769,0.7231,0.7231,0.9520,0.7623
0.9279,0.9568,0.9158,0.7060,0.9548,0.8687,0.7021,0.7019,0.9518,0.7678
0.9321,0.9575,0.9171,0.7070,0.9544,0.8770,0.7082,0.7081,0.9520,0.7664
0.9248,0.9593,0.9200,0.6819,0.9594,0.8761,0.7140,0.7133,0.9512,0.7593
0.9291,0.9599,0.9207,0.7023,0.9578,0.8797,0.7144,0.7142,0.9509,0.7663
0.0030,0.0023,0.0032,0.0113,0.0025,0.0066,0.0074,0.0074,0.0010,0.0058
