active_roc,inter_roc,inactive_roc,active_pr,inter_pr,inactive_pr,mcc,cks,train_r2,test_r2
0.9266,0.9594,0.9217,0.7157,0.9585,0.8771,0.7190,0.7188,,0.7755
0.9286,0.9625,0.9225,0.7142,0.9626,0.8790,0.7175,0.7174,,0.7735
0.9294,0.9588,0.9223,0.7192,0.9580,0.8809,0.7164,0.7163,,0.7755
0.9275,0.9607,0.9204,0.6889,0.9583,0.8848,0.7162,0.7160,,0.7891
0.9250,0.9598,0.9219,0.6992,0.9582,0.8849,0.7159,0.7156,,0.7745
0.9317,0.9595,0.9208,0.7119,0.9585,0.8789,0.7140,0.7139,,0.7738
0.9247,0.9593,0.9193,0.6872,0.9577,0.8755,0.7117,0.7117,,0.7810
0.9304,0.9592,0.9201,0.7150,0.9568,0.8776,0.7113,0.7112,,0.7797
0.9238,0.9601,0.9190,0.7087,0.9582,0.8740,0.7111,0.7109,,0.7769
0.9262,0.9580,0.9173,0.6950,0.9577,0.8733,0.7110,0.7108,,0.7741
0.9238,0.9601,0.9190,0.7087,0.9582,0.8740,0.7111,0.7109,,0.7761
0.9262,0.9580,0.9173,0.6950,0.9577,0.8733,0.7110,0.7108,,0.7793
