active_roc,inter_roc,inactive_roc,active_pr,inter_pr,inactive_pr,mcc,cks,train_r2,test_r2
0.9342,0.9628,0.9251,0.7055,0.9594,0.8916,0.7266,0.7263,0.9494,0.7732
0.9304,0.9641,0.9268,0.6969,0.9625,0.8874,0.7131,0.7128,0.9499,0.7674
0.9295,0.9599,0.9224,0.7090,0.9570,0.8803,0.7309,0.7300,0.9477,0.7752
0.9263,0.9591,0.9188,0.7006,0.9555,0.8756,0.7111,0.7110,0.9493,0.7614
0.9318,0.9594,0.9207,0.7183,0.9580,0.8784,0.7151,0.7151,0.9490,0.7752
0.9281,0.9622,0.9217,0.6984,0.9579,0.8852,0.7237,0.7236,0.9461,0.7657
0.9316,0.9595,0.9213,0.7148,0.9573,0.8731,0.7156,0.7156,0.9447,0.7636
0.9294,0.9575,0.9180,0.7147,0.9541,0.8756,0.7047,0.7044,0.9506,0.7695
0.9316,0.9560,0.9163,0.7035,0.9524,0.8761,0.7050,0.7046,0.9470,0.7640
0.9235,0.9602,0.9208,0.6800,0.9589,0.8803,0.7140,0.7140,0.9486,0.7593
0.9296,0.9601,0.9212,0.7042,0.9573,0.8803,0.7160,0.7158,0.9482,0.7674
0.0031,0.0024,0.0032,0.0112,0.0028,0.0060,0.0087,0.0086,0.0018,0.0057
